pickup_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount,tolls_amount
6/1/2016 12:00,1,0.540000021,-73.963974,40.77462006,-73.9604187,40.78065109,4.5,1,0
6/1/2016 12:00,1,4.5,-73.95570374,40.77627182,-73.98854065,40.74427795,22,0,0
6/1/2016 12:00,1,1.299999952,-73.97733307,40.76606369,-73.98976898,40.75205612,9.5,0,0
6/1/2016 12:00,1,0.899999976,-73.96164703,40.77707672,-73.9522934,40.78990555,5.5,0,0
6/1/2016 12:00,1,2.890000105,-73.97445679,40.75463867,-74.00179291,40.72098923,17,3.559999943,0
6/1/2016 12:00,1,0.930000007,-73.99508667,40.76034927,-73.98400116,40.76522827,7,0,0
6/1/2016 12:00,1,2.180000067,-73.93994141,40.80046844,-73.96103668,40.77505875,13,2.75999999,0
6/1/2016 12:00,1,2.569999933,-73.97968292,40.74550247,-74.00481415,40.72548676,16,3.359999895,0
6/1/2016 12:00,6,0.959999979,-73.97044373,40.75598526,-73.96206665,40.76762772,6,1.360000014,0
6/1/2016 12:00,1,11.89000034,-73.86320496,40.76959991,-73.98725891,40.77123261,42.5,9.770000458,5.539999962
6/1/2016 12:00,1,2,-73.98130035,40.78083801,-73.98786926,40.77216339,14.5,0,0
6/1/2016 12:00,1,1.399999976,-73.9547348,40.76501465,-73.96646118,40.75392914,9,1.950000048,0
6/1/2016 12:00,6,11.93000031,-73.87355042,40.77397156,-74.00437164,40.70711136,35,8.270000458,5.539999962
6/1/2016 12:00,1,1.080000043,-73.95836639,40.77885056,-73.96823883,40.76523972,9.5,2.059999943,0
6/1/2016 12:00,1,20.5,-73.78851318,40.64175415,-73.94507599,40.83828354,52,11.64999962,5.539999962
6/1/2016 12:00,1,1.610000014,-73.98175049,40.76692963,-73.97437286,40.7508812,15,0,0
6/1/2016 12:00,5,0.939999998,-73.99240112,40.74686432,-73.98773193,40.75521851,10,3.24000001,0
6/1/2016 12:00,1,0.670000017,-73.99468994,40.7403717,-73.98506165,40.7363205,8.5,1.860000014,0
6/1/2016 12:00,4,2.700000048,-73.99156189,40.75024796,-74.01145935,40.71348572,14.5,3.049999952,0
6/1/2016 12:00,1,0.800000012,-73.98516846,40.72795868,-73.99877167,40.73397064,6.5,1.450000048,0
6/1/2016 12:00,1,4.099999905,-74.01019287,40.72013474,-73.99282074,40.69792175,14,3,0
6/1/2016 12:00,1,0.200000003,-73.98527527,40.75358963,-73.98259735,40.7570076,3,0.75,0
6/1/2016 12:00,4,3.799999952,-73.954422,40.76418686,-73.98462677,40.72658157,20.5,6.349999905,0
